Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Corée, République de",KOR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,32.3,,32,,31.6,,,,,,,
Koweït,KWT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amérique latine et Caraïbes (hors revenu élevé),LAC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
République démocratique populaire lao,LAO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,,,34.9,,,,,32.6,,,,,35.4,,,,,36.4,,,,,,,
Liban,LBN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,,,,,,
Libéria,LBR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,,33.2,,35.3,,,
Libye,LBY,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainte-Lucie,LCA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,51.2,,,
Amérique latine et Caraïbes,LCN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pays les moins avancés : classement de l’ONU,LDC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faible revenu,LIC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,,32.4,,,,,35.4,,,,,,,41,,,,40.3,,,36.4,,,39.2,,,,39.8,,,
"Revenu intermédiaire, tranche inférieure",LMC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenu faible et intermédiaire,LMY,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,63.2,,,,,,,,51.6,,,,,,,,54.2,,,,,,,,,
de dividende tardif démographique,LTE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lituanie,LTU,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,37,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,,,,
Luxembourg,LUX,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32,31.2,33.8,,,,
Lettonie,LVA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,31,31.6,,,,,,,,36.4,39,35.6,37.5,37.2,35.9,35,35.8,35.2,35.5,35.1,34.2,,,,
"Région administrative spéciale de Macao, Chine",MAC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Martin (fr),MAF,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroc,MAR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,39.2,,,,,,39.2,,,,,,,,39.5,,40.6,,,,,,40.7,,,,,,,39.5,,,,,,
Monaco,MCO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,39.5,42.6,36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27,26.3,25.9,,
Madagascar,MDG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,,,,,,,,45.3,,,,39.5,,38.6,,47.4,,,,39.9,,,,,42.4,,42.6,,,,,,,
Maldives,MDV,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,,,,,,,38.4,,,,,,,,,,
Afrique du Nord et Moyen-Orient,MEA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexique,MEX,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,,53.7,,54.3,,54.8,,53.4,,52.6,,50.1,,50,50.1,48.9,,49.9,,47.2,,48.7,,48.7,,48.3,,,
Îles Marshall,MHL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenu intermédiaire,MIC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macédoine du Nord,MKD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,40.2,39.4,38.1,36.2,35.2,35.6,,,,
Mali,MLI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,,39.9,,,,,38.9,,,33,,,,,,,,,,
Malte,MLT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29.2,29,30.2,29,29.1,29.4,28.8,29,29.4,,,,
Myanmar,MMR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,
Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monténégro,MNE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30,31.4,30.5,31,28.9,30.8,32.3,32.4,31.9,,,,,
Mongolie,MNG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,30.3,,,,32.9,,,,,35.8,,,33.1,33.9,33.8,,32,,32.3,,,
Mariannes,MNP,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,,,,,,47,,,,,,45.6,,,,,,54,,,,,
Mauritanie,MRT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,,,,,50.1,,37.7,,,,,39,,,,40.2,,,,35.7,,,,,,32.6,,,,,
Maurice,MUS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,38.5,,,,,,,
Malawi,MWI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,,39.9,,,,,,45.5,,,,,,44.7,,,
Malaisie,MYS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,48.6,,,47,,46.2,,,47.7,,,48.5,,49.1,,,,,,,46.1,,,46.1,45.5,,,43.9,,41.3,,41,,,,
Amérique du Nord,NAC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibie,NAM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,,,,61,,,,,,59.1,,,,
Nouvelle-Calédonie,NCL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,41.5,,,,,,,,,,,44.4,,37.3,,,,31.5,,,34.3,,,,,
Nigéria,NGA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,,,,,45,,,,51.9,,,,,,,40.1,,,,,,43,,,,,,,,,,
Nicaragua,NIC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4,,,,,54.4,,,52.9,,,,48.8,,,,43.9,,,,,46.2,,,,,
Pays-Bas,NLD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,29,30,29.6,29.3,27.9,27.8,27.7,27.6,28.1,28.6,28.2,,,,
Norvège,NOR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,31.6,30.6,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,,,,
Népal,NPL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,,,,43.8,,,,,,,32.8,,,,,,,,,
Nauru,NRU,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Zélande,NZL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pays membres de l'OCDE,OED,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autres petits états,OSS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,33.2,,,,,,28.7,,33.1,,,30.4,,,32.5,32.7,,31.6,,,29.8,30.9,,30.7,,33.5,,,,
Panama,PAN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,58.9,,58.2,,,,57.8,,58.2,57.5,56.5,56.8,56.9,56.2,55.8,54.8,53.8,54.6,52.7,52.7,51.8,51.6,51.3,51.7,51.5,50.5,50.8,50.4,49.9,,
Pérou,PER,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,56.1,56.3,49.1,51.3,53.6,53.1,49.9,50.4,50.3,50,47.5,47,45.5,44.7,44.4,43.9,43.2,43.4,43.6,43.3,,
Philippines,PHL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,,,46.6,,,47.2,,,46.3,,,46.5,,,44.4,,,,
Palaos,PLW,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papouasie-Nouvelle-Guinée,PNG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,,,,,,,,,,,,,41.9,,,,,,,,,,
Pologne,POL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,25.5,,26.9,,,,,,,,,,,,,,,38,35.8,34.7,34,33.5,33.4,33.2,33.2,33,33.1,32.8,31.8,,,,
de Pré-dividende démographique,PRE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto Rico,PRI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corée, République démocratique de",PRK,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,38.9,38.5,38.1,36.7,36.6,34.9,35.8,36.3,36,36.2,35.6,35.5,,,,
Paraguay,PRY,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,,,58.2,,54.9,,54.6,,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9,48.8,,
Cisjordanie et Gaza,PSE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34.7,34,35.6,,34.5,35.3,34.4,,,,,33.7,,,
Petits états insulaires du Pacifique,PSS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de Post-dividende démographique,PST,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polynésie française,PYF,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roumanie,ROU,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,25.5,,28.2,,,,,,,,,,,,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36,35.9,,,,
Fédération de Russie,RUS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,,,46.1,38.4,38.1,37.4,37.1,36.9,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,,,,
Rwanda,RWA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,48.5,,,,,52,,,,,47.2,,,45.1,,,43.7,,,
Asie du Sud,SAS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabie saoudite,SAU,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soudan,SDN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,,,,,,
Sénégal,SEN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,41.4,,,,,,,41.2,,,,39.2,,,,,,40.3,,,,,,,,
Singapour,SGP,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Îles Salomon,SLB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,,,,,,,,37.1,,,,,,
Sierra Leone,SLE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,,34,,,,,,,,
El Salvador,SLV,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,49.9,51,,54.5,52.2,51.5,51.4,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40,38,,
Saint-Marin,SMR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalie,SOM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbie,SRB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,39.8,39.2,39.6,,,,
Afrique subsaharienne (hors revenu élevé),SSA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soudan du Sud,SSD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,,,,,,,,,,
Afrique subsaharienne,SSF,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petits états,SST,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tomé-et-Principe,STP,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,,,,,30.8,,,,,,,,,
Suriname,SUR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,,,
République slovaque,SVK,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,27.1,29.3,25.8,24.7,26,27.2,27.3,26.5,26.1,28.1,26.1,26.5,,,,
Slovénie,SVN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,,,,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,,,,
Suède,SWE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,26.1,26.8,26.4,27.1,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,,,,
Eswatini,SWZ,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,,,,,,53.1,,,,,,,,,51.5,,,,,,,,,,
Sint Maarten (Dutch part),SXM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,
République arabe syrienne,SYR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,,,,,,,,,,,
Îles Turques-et-Caïques,TCA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tchad,TCD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,43.3,,,,,,,,
Asie de l’Est et Pacifique (BIRD et IDA),TEA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe et Asie centrale (BIRD et IDA),TEC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,TGO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,46,,,,43.1,,,,
Thaïlande,THA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,43.8,,45.3,,47.9,,43.5,,42.9,,41.5,43.1,42.8,,41.9,,42.5,,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37,36,36.9,36.5,,
Tadjikistan,TJK,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,32.7,33.6,,,32.2,,30.8,,,,,,34,,,,
Turkménistan,TKM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,,,,,,,,,,,,,,,,,,,
Amérique latine et Caraïbes (BIRD et IDA),TLA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,27.8,,,,,,,28.7,,,,,
Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,,,,,,,,37.5,,,,,,37.6,,,,
Asie du Sud (BIRD et IDA),TSA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrique subsaharienne (BIRD et IDA),TSS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinité-et-Tobago,TTO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisie,TUN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,40.2,,,,,41.7,,,,,40.8,,,,,37.7,,,,,35.8,,,,,32.8,,,,
Turquie,TUR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,,41.3,,,,,,,,41.4,42.2,41.3,42.6,39.6,38.4,39,39,38.8,40,40.2,40.2,41.2,42.9,41.9,,,
Tuvalu,TUV,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,,,,,,,,
Tanzanie,TZA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,,,,,37.3,,,,,,,40.3,,,,37.8,,,,,,,,
Ouganda,UGA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,41.4,,,,39,,,43,,,45.2,,,42.9,,,,44.2,,,41,,,,42.8,,,
Ukraine,UKR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,28.9,,39.3,35.2,,,,,,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.6,24.7,24.6,24,25.5,25,,,
"Revenu intermédiaire, tranche supérieure",UMC,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,43.6,,,,,,,,42.4,,,,,,,,,,,,,,,,,45.9,46.4,45.1,45.6,44.5,42.2,39.9,40.5,40.1,40.2,39.7,39.5,,
États-Unis,USA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,34.6,,,,,,,37.5,,,,,38.2,,,40.2,,,40.8,,,40.4,,,,40.5,,,41.1,,,40.4,,,41,,,41.5,,,
Ouzbékistan,UZB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,,36.1,,33,35.3,,,,,,,,,,,,,,,,
Saint-Vincent-et-les Grenadines,VCT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,VEN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,55.6,,,,,,53.4,,45.3,,,42.5,,,47.8,,,49.8,48.3,,48.2,50.6,50.4,49.8,52.4,46.9,,,,,,,,,,,,,
Îles Vierges britanniques,VGB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Îles Vierges (EU),VIR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,35.4,,,,37,,36.8,,35.8,,35.6,,39.3,,35.6,,34.8,,35.3,,,
Vanuatu,VUT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,,,,
